u-g,g-r,r-i,i-z,class
0.3689999999999998,-0.22100000000000009,0.125,-0.01899999999999835,qso
0.5129999999999981,0.1739999999999995,0.02300000000000324,-0.0940000000000012,wd
0.38599999999999923,0.2759999999999998,0.30500000000000327,0.07399999999999807,qso
1.4497009999999975,0.6581690000000009,0.28924900000000164,0.14294999999999902,star
0.4029999999999987,0.09100000000000108,-0.0070000000000014495,0.010999999999999233,wd
0.9136279999999992,0.32322699999999926,0.1137010000000025,0.048575999999997066,star
1.215641999999999,0.44725599999999943,0.11822000000000088,0.03114000000000061,star
0.18499999999999872,-0.030999999999998806,0.16900000000000048,0.11299999999999955,qso
1.0780829999999995,0.3693350000000031,0.13785000000000025,0.0028549999999967213,star
-0.0010000000000012221,0.38700000000000045,-0.010000000000001563,0.06400000000000006,qso
0.3990000000000009,-0.20800000000000196,-0.20199999999999818,-0.23100000000000165,wd
1.0022870000000026,0.084225,-0.02757100000000179,-0.0452060000000003,star
0.1750000000000007,0.0779999999999994,-0.053000000000000824,0.3410000000000011,qso
0.2240000000000002,0.08000000000000185,0.1739999999999995,0.05000000000000071,qso
0.5329999999999977,0.740000000000002,1.0730000000000004,0.6600000000000001,wd
0.12099999999999866,0.15899999999999892,0.03200000000000003,0.18299999999999983,qso
0.05999999999999872,-0.09699999999999775,0.16699999999999804,0.038000000000000256,qso
1.3464020000000012,0.4838540000000009,0.12437299999999851,0.02850900000000145,star
0.3730000000000011,-0.2560000000000002,-0.17300000000000182,-0.21199999999999974,wd
0.11899999999999977,-0.3500000000000014,-0.3279999999999994,0.03999999999999915,wd
0.0070000000000014495,0.1579999999999977,0.5390000000000015,0.02400000000000091,qso
0.038000000000000256,0.05100000000000193,0.3960000000000008,-0.1930000000000014,qso
1.246656999999999,0.44186300000000145,0.15647300000000008,0.053274999999999295,star
0.022999999999999687,-0.2980000000000018,-0.2469999999999999,-0.21999999999999886,wd
0.5680000000000014,-0.019000000000001904,-0.16900000000000048,0.22000000000000242,wd
0.26099999999999923,0.2920000000000016,0.08299999999999841,0.028999999999999915,qso
1.0882319999999979,0.3833580000000012,0.10040000000000049,0.038888999999999285,star
0.2270000000000003,-0.010999999999999233,0.26200000000000045,0.08099999999999952,qso
0.18599999999999994,0.3810000000000002,-0.05000000000000071,-0.08899999999999864,qso
2.5536969999999997,1.360709,0.4677820000000015,0.33204600000000006,star
0.10500000000000043,0.20599999999999952,-0.0030000000000001137,0.20700000000000074,qso
0.41199999999999903,0.0019999999999988916,-0.03300000000000125,-0.22399999999999665,wd
0.44399999999999906,-0.125,-0.012999999999998124,-0.16499999999999915,wd
0.38599999999999923,0.13400000000000034,-0.04800000000000182,-0.07699999999999818,wd
-0.10099999999999909,-0.23700000000000188,-0.3049999999999997,-0.2289999999999992,wd
0.5560000000000009,-0.21000000000000085,-0.13599999999999923,-0.2859999999999978,wd
1.7278580000000012,0.6735299999999995,0.27480899999999764,0.12340000000000018,star
0.9294370000000001,0.2420170000000006,0.1185969999999994,0.0647100000000016,star
0.21199999999999974,-0.011999999999996902,0.1529999999999987,-0.010000000000001563,qso
1.1661389999999976,0.49837499999999935,0.21389800000000037,0.08830800000000139,star
0.2749999999999986,-0.2190000000000012,-0.21499999999999986,-0.26399999999999935,wd
1.591984,0.6262570000000025,0.2570929999999976,0.13073200000000185,star
0.4450000000000003,-0.06199999999999761,-0.18100000000000094,-0.054999999999999716,wd
1.1647010000000009,0.42678499999999886,0.19634399999999985,0.060899000000000925,star
0.2510000000000012,-0.08600000000000207,-0.12299999999999756,-0.04600000000000293,wd
0.17999999999999972,0.019000000000001904,0.16899999999999693,-0.007999999999999119,qso
1.307457000000003,0.46017499999999956,0.1963279999999994,0.005331999999999226,star
2.2310000000000016,0.24399999999999977,0.09399999999999764,-0.028999999999999915,qso
1.3551709999999986,0.4971350000000001,0.17820700000000045,-0.004754999999999399,star
0.125,0.3960000000000008,-0.36400000000000077,-0.24399999999999977,qso
1.1580729999999981,0.3988700000000023,-0.03394300000000072,0.21139399999999853,star
0.33500000000000085,0.23699999999999832,0.06299999999999883,0.2270000000000003,qso
1.3384,0.5576239999999988,0.19798600000000022,0.15582200000000057,star
-0.2680000000000007,-0.3929999999999989,-0.36100000000000065,-0.33300000000000196,wd
0.22100000000000009,0.2220000000000013,0.3559999999999981,-0.05699999999999861,qso
2.616344999999999,1.1516200000000012,0.4554849999999995,0.2378499999999999,star
0.9796890000000005,0.2581939999999996,0.09055700000000044,0.05184799999999967,star
0.3329999999999984,0.1910000000000025,0.0779999999999994,0.004000000000001336,qso
1.8905239999999992,0.7532619999999994,0.2745360000000012,0.15134699999999945,star
0.2220000000000013,0.26200000000000045,0.08699999999999974,0.08099999999999952,qso
0.08999999999999986,0.04100000000000037,0.28200000000000003,-0.06799999999999784,qso
1.6730920000000005,0.7163940000000011,0.347372,0.14244099999999804,star
1.2312089999999998,0.5363160000000011,0.21230699999999914,0.08316500000000104,star
0.012000000000000455,0.015000000000000568,0.19099999999999895,0.13100000000000023,qso
0.27699999999999747,0.03100000000000236,-0.07600000000000051,-0.13200000000000145,wd
0.10500000000000043,-0.2270000000000003,-0.26500000000000057,-0.29199999999999804,wd
2.051863000000001,0.8100769999999997,0.29488800000000026,0.13970100000000052,star
0.3769999999999989,-0.02699999999999747,-0.21000000000000085,0.09100000000000108,qso
